x,y
189858.54159994604,553546.0743612674
189862.91371530324,553542.3803182797
189866.61484609175,553539.6530008827
189870.80487685595,553536.5526039895
189874.10228815753,553534.1126968897
189878.6450159705,553530.7513233626
189884.214295514,553526.6306429836
189890.24988149107,553522.1745628557
189895.06212482587,553518.6191302511
189901.82833994017,553513.6071104628
189907.85723235228,553509.1404910162
189913.64702196646,553504.8521838106
189920.8798547177,553499.4596712409
189928.12387617162,553494.1166952365
189936.00646160747,553488.2915293642
189943.21760865295,553482.9564696983
189951.20306527417,553477.0457053148
189959.64625928574,553470.8082728737
189965.96621277166,553466.136774101
189975.57614259707,553459.0255991782
189983.11341322563,553453.4279104555
189990.30949054693,553448.08519795
189997.76952555223,553442.5615855195
190013.6800886155,553432.5210214712
190021.35237614473,553428.1522105951
190027.9601245888,553423.9631190296
190036.01892116334,553418.0711751784
190043.39025256195,553412.5724515987
190047.98283027826,553409.1691810661
190055.1325600652,553405.5605047258
190062.13487802245,553402.7599081491
190066.54029797183,553399.5149399736
190070.93649034362,553396.2606156773
190075.72834032233,553392.7003458508
190080.5282212162,553389.1418877129
190082.9281616756,553387.3626585904
190090.1279831237,553382.024970984
190092.52792362898,553380.2457417066
190094.35596970352,553382.6455000582
190097.29967121594,553380.7157614228
190100.00727732072,553382.2628397624
190102.31800022555,553380.5572322763
190106.66270764635,553381.3687203991
190108.1586814489,553384.7484649217
190113.32877569526,553386.529936831
190115.18459752487,553388.8357969783
190118.89624116037,553393.4475173727
190122.607884771,553398.0592379172
190127.33145023364,553403.981116556
190132.92535131672,553411.0159321369
190138.5173140535,553418.0486216119
190144.53963587078,553425.4025646807
190150.20847812516,553432.3774279264
190156.17544417336,553439.7576159557
190161.83355648376,553446.7562298144
190169.2736502603,553455.990775336
190175.512242826,553463.6425286614
190182.4770912694,553472.2358051485
190188.66019180685,553479.8652091565
190194.29620300964,553486.8185766566
190201.81459165906,553496.1444798311
190205.05324733458,553505.3023007252
190210.55701907768,553512.3742484746
190214.39990064668,553517.220311248
190220.10182555005,553524.2953503572
190223.85897302278,553528.8854097546
190227.6161204638,553533.4754692992
190231.37326788207,553538.0655289848
190233.25184157875,553540.3605588923
190237.00898895843,553544.9506188065
190238.88756263244,553547.2456488245
190239.9887443415,553549.57460769
190241.31672715428,553550.7051583217
190242.64470996673,553551.8357089674
190244.49881762743,553554.1229714784
190246.38043656282,553556.4441616599
190246.38043656282,553556.4441616599
190248.26205550198,553558.7653513934
190248.26205550198,553558.7653513934
190252.66880511877,553559.1865549568
190253.84871084464,553560.6524816813
190255.02861656298,553562.1184084227
190257.25867163934,553564.8890514793
190258.32379761018,553566.2123748328
190260.83452848563,553569.331732362
190262.66625627584,553571.6074906385
190265.8924450183,553575.6157400297
190268.63682931056,553579.0545976763
190271.70372183196,553582.8480280311
190275.46638047084,553587.4913933607
190280.09023296766,553593.167939024
190285.72951603,553600.1122942243
