x,y
189749.3695636822,553891.3808507021
189750.4838860954,553892.3852658294
189751.59820850834,553893.3896809701
189753.8192237949,553895.3893333372
189755.61562050943,553897.006679037
189722.49991110992,553880.136241434
189723.6244769488,553882.2171435992
189724.74904277356,553884.2980457821
189725.87360857974,553886.3789479934
189726.928042533,553887.5564968548
189727.9824764792,553888.7340457184
189729.01237772717,553889.8841974381
189730.04227897062,553891.034349172
189731.9560092031,553892.9516201713
189733.86973943646,553894.868891201
189734.97606977567,553895.8833046856
189736.0824001161,553896.8977181864
189738.27880150813,553898.9116351915
189738.47274402558,553899.0894643067
189740.67472379786,553901.1018525533
189742.88903714967,553903.1226510541
189745.09623560778,553905.1356326658
189746.89420591676,553906.774872106
189749.03197831375,553904.372692439
189750.1492868204,553905.3869265503
189751.26659533242,553906.4011606652
189752.44889463705,553907.4743906083
189753.56040948667,553908.4859099712
189754.67192433478,553909.4974293349
189756.88769670227,553911.5019314447
189758.33286509436,553912.8093052795
189760.56081481097,553914.8158732507
189762.7866670144,553916.8184329987
189764.66297417658,553918.5280187704
189766.53928134718,553920.2376045705
189768.4155885172,553921.9471904037
189770.29189569113,553923.6567762576
189751.20433947459,553901.9340938301
189752.93019622363,553903.5030200733
189753.42432793626,553903.952218314
189755.2329340631,553905.5963606449
189757.43846152772,553907.6067063613
189758.54966639937,553908.6193578702
189759.66087127154,553909.6320093883
189761.86555891062,553911.6410069094
189762.97770142052,553912.6526783565
189764.08984392873,553913.6643498071
189766.29660645343,553915.6665830646
189766.472826596,553915.8264704888
189768.69843863178,553917.8359647427
189770.92264820996,553919.8446742599
189772.44413434807,553921.2388976673
189753.38288438623,553899.5012643283
189754.4924999514,553900.5107541222
189755.60211552057,553901.5202439346
189757.80798129315,553903.5267088105
189757.9196879131,553903.6282312359
189759.55072843455,553905.1091610858
189761.75262416128,553907.1084088847
189763.97241053008,553909.1239006297
189766.19405260083,553911.1374148602
189768.40229390966,553913.1403889663
189768.66641800036,553913.3799683391
189770.63670818036,553915.1671649759
189772.8493716398,553917.1749151257
189774.62319561787,553918.7880244037
189755.61562017235,553897.0066790321
189757.00980258573,553898.267162828
189757.83567994522,553899.0138477406
189759.6793082906,553900.680691154
189761.8952381938,553902.6820682342
189764.12150005263,553904.6916287388
189766.33914627848,553906.6905819704
189767.45397626646,553907.6954729647
189768.5688062517,553908.7003639725
189770.78158646918,553910.6963766793
189770.92959108014,553910.8298824531
189773.1559640498,553912.8381568299
189775.3822388616,553914.8462040698
189776.89946117217,553916.2190095778
189765.89348101805,553928.9205569846
189764.72085783473,553927.8548798014
189762.58513362997,553925.907929325
189761.41885573693,553924.844737401
189760.2525778437,553923.7815454878
189758.73979904785,553922.4024792794
189757.22702025445,553921.0234130875
189755.89436399855,553919.8085488204
189754.5617077477,553918.5936845613
189753.057170511,553917.2221312535
189751.55263327775,553915.8505779654
189750.3767754988,553914.7786530722
189749.20091772146,553913.7067281889
189747.72002404532,553912.3567295152
189746.23913037244,553911.006730855
189744.46973815418,553909.3937343488
189763.75605809168,553931.4351130635
189761.7065159907,553929.5806547365
189760.273218158,553928.2842787005
189758.06721982002,553926.2663369896
189756.0026917,553924.377401303
189753.7907128443,553922.3526442575
189752.68427159076,553921.3396999697
189751.57783033658,553920.3267556883
189749.36665903052,553918.3010047007
189748.26070976752,553917.2875804541
189747.15476050612,553916.2741562203
189746.04763994447,553915.262051849
189744.94051938455,553914.2499474898
189742.73228911377,553912.23257463
189742.25876696565,553911.799990221
189761.37720194578,553933.6966560469
189759.17227424026,553931.6974751465
189758.12233477147,553930.7454376206
189755.9172813295,553928.7263462399
189754.17181575546,553927.1277275872
189751.97257833186,553925.1104979137
189749.7620868676,553923.0843709729
189747.5575394096,553921.0626152785
189745.56873502798,553919.2393751869
189743.35861886494,553917.2119223356
189741.14988759474,553915.1861242347
189740.10072617538,553914.2238438238
189759.07477034972,553936.1712882675
189756.8687428809,553934.1423819003
189755.84347515932,553933.1995839359
189753.6378681134,553931.1768879428
189752.4195747247,553930.0596283213
189751.31423247076,553929.044313526
189750.20889021808,553928.028998742
189748.00822945352,553926.0083116469
189746.33757681007,553924.4739150293
189744.13788451918,553922.455010973
189743.03006230033,553921.4382711416
189741.9222400818,553920.4215313216
189739.71893564044,553918.400392029
189737.88891805388,553916.7216828354
189756.74280559993,553938.8058575604
189754.53246746343,553936.7810149108
189753.50559900474,553935.8402043399
189753.50559900474,553935.8402043399
189751.29362204834,553933.8256961255
189749.3531416388,553932.0626437009
189747.13381990563,553930.0449546162
189746.4549433294,553929.4283991884
189745.3327893038,553928.4081402567
189744.210635283,553927.387881344
189742.00839754334,553925.3528938995
189739.81440284703,553923.3274933253
189737.6153990786,553921.3104204322
189735.49291236262,553919.3673116433
189744.46973765074,553909.3937342908
189742.26260026442,553907.3867530971
189741.15294816368,553906.3777289271
189740.0432960648,553905.3687047628
189738.93003117718,553904.3563665948
189737.81676629191,553903.3440284352
189736.71009241464,553902.3317515091
189735.60341853462,553901.3194745944
189733.39183673984,553899.2965512008
189731.19407754397,553897.2791393495
189730.84776699473,553896.9612467248
189728.6488438675,553894.9421505728
189726.45800804213,553892.9312268697
189725.35295861537,553891.9169254832
189724.24790918798,553890.9026241079
189723.31656155852,553890.0477604163
189721.12328818798,553888.0208856976
189720.0236364371,553886.9924606287
189718.92398468318,553885.9640355735
189716.74191739058,553883.9186906475
189714.56039940057,553881.8727212982
189712.38198954906,553879.829668994
189710.20047388016,553877.7837035935
189709.1091703573,553876.7494882878
189708.01786683864,553875.715272987
189706.69008503805,553874.4534371038
189704.5389331978,553872.3637507941
189703.21902987725,553871.0752874438
189701.08734509116,553868.971621286
189699.05002087675,553866.9544308764
189697.98890609047,553865.8939224724
