x,y
190169.27365026026,553455.990775336
190172.15552165508,553459.5316929015
190174.04535147792,553461.8460882496
190177.3949647002,553465.9649056895
190179.27250316192,553468.2816240382
190182.4770912694,553472.2358051485
190184.90511575036,553475.2317737846
190188.66019180685,553479.8652091565
190190.53773082004,553482.181927753
190194.29620300964,553486.8185766566
190199.94394768105,553493.8113390908
190203.6852337248,553498.4776200971
190206.07547432816,553501.4588221702
190207.92252309635,553503.8120126432
190211.6166207143,553508.5183944192
190214.72468173486,553512.4858374515
190216.86175893497,553515.1790982804
190220.5906858016,553519.868703774
190222.65651804805,553522.3763406314
190226.43146838536,553526.9513175342
190228.31894354377,553529.238806045
190232.09389384234,553533.813783178
190235.86884411654,553538.388760461
190237.75631924003,553540.6762491609
190245.30621945023,553549.8262040796
190247.13871982717,553552.1556090853
190250.82544350188,553556.8429072485
190256.14364410398,553563.5037299397
190259.38892357866,553567.5356981914
190260.83452848563,553569.331732362
190264.81960630373,553574.2828346142
190267.69041758458,553577.8868515565
190271.4643582033,553582.5516361684
190275.46638047084,553587.4913933607
190283.8497551756,553597.7975092428
190298.2528911449,553610.9211567193
190302.91351985472,553616.4063753374
190311.0166108582,553621.4465471895
190321.34424545916,553618.860654125
190328.83045213274,553614.67907409
190335.94890711718,553614.2603464714
190342.18827220026,553614.1826433028
190350.41690856655,553613.284582614
190355.6368228881,553610.3297538579
190361.3532333664,553607.1041096873
190366.57106653397,553604.1640914192
190372.64861520912,553600.712533823
190375.63071619297,553595.2155689747
190379.5451549246,553592.9964291791
190382.80410935686,553591.1435522027
190385.85146511326,553589.3979613205
190389.78791579767,553587.1251784952
190395.41326334665,553583.8471944075
190397.33246608888,553582.72497702
190402.4713929489,553579.6998110681
190405.0729109332,553578.1504259483
190410.02326213417,553575.2450583704
190414.9736133958,553572.339690665
190417.44878905726,553570.8870067636
190422.29012710977,553567.7694182697
190429.38861431027,553562.7747043769
190432.74844461377,553560.2724716285
190436.8456665296,553557.0555636679
190439.8793727763,553554.6110387833
190443.4160171232,553551.6433118049
190447.133938387,553548.4833947485
190451.15002676996,553545.0238749001
190458.11699608172,553539.0446016915
190462.25564992806,553535.4373645138
190466.21458645663,553532.0270686388
190469.8117473299,553528.915655628
190472.75117255183,553526.3569533637
190475.35927605184,553524.1120156812
190478.3736695701,553521.4747442642
190482.88876826302,553517.5669706552
190485.14553421346,553515.6188330845
190488.33015304885,553512.856652258
190492.84177843021,553508.9212386936
190498.36492619608,553504.0947742423
190503.5740744934,553499.5549724246
190509.84495994553,553494.0816593394
190517.52392640032,553487.3952162644
190522.4062322416,553479.1937523575
190528.93351624822,553473.4967831085
190534.4814148028,553468.3454468885
190533.5182730044,553461.6698021953
190534.15660391198,553457.2517052043
190537.9110976181,553448.03294168
190536.12296729558,553445.9684686611
190534.90269818075,553440.1513990109
190531.6914272506,553435.7880848254
190523.88887212213,553431.2600692618
190520.92433973076,553427.5854547005
190516.99788669214,553422.7185151118
190513.99688553828,553418.9986979442
190511.04823841847,553415.3437724209
190505.41439406687,553408.3691418321
190501.65849525586,553403.7193882471
190499.78055156133,553401.39451163
190496.02465274805,553396.7447563598
190494.14670521618,553394.4198797765
190483.94251842692,553376.4678288314
190482.06407497654,553374.1368560183
190478.30530545293,553369.4718603176
190473.4892751678,553368.8462364092
190467.85543190074,553361.8716095715
190464.09953609348,553357.2218594856
190462.22158561955,553354.8969815861
190458.46568742575,553350.2472297677
190456.58774356009,553347.9223540298
190452.83184246506,553343.2726023834
190450.95624004508,553340.9519808234
190447.19288884304,553336.3082892731
190443.4295376127,553331.6645978736
190441.54787231327,553329.3427600851
190438.35504765427,553325.408776591
190436.04651713648,553322.5467402562
190432.8410814599,553318.5727504037
190427.32541815864,553311.7574289493
190421.65408559426,553304.7851334084
190417.88367393255,553300.1343492739
190415.99846854754,553297.8089582294
190408.45764837036,553288.5073939974
190404.68662778882,553283.8591559061
190402.17992434945,553275.4884414334
190398.41261660206,553270.8480616714
190394.2011520814,553265.6564212645
190387.70847134822,553262.9397978731
190383.93555066892,553258.2910485293
190378.27616943352,553251.317932421
190372.2562611263,553248.66004884
190368.44265582634,553243.9340804857
190360.02341454825,553228.832343753
190355.40920368375,553189.0582864358
190364.29359835823,553162.8646223939
190367.46881961913,553156.5429865589
190373.609901518,553151.9828227432
190378.07377182107,553148.7021743999
190381.86838045588,553145.858733877
190388.8449361025,553144.6639348486
190396.71313220097,553142.6823761774
190401.4292450107,553143.0325662771
190403.83029811044,553141.2521243368
190411.033457735,553135.9107976982
190416.63949952138,553131.7553674405
190421.4461438771,553128.1941782801
190432.63347258928,553119.9100695759
190439.82369443148,553114.5862567886
190445.58071204385,553110.326009276
