x,y
190839.37820089032,552835.3104867127
190833.35959644214,552839.7489341375
190828.6349241924,552843.2564777696
190823.82382839092,552846.8170426012
190819.95197304283,552849.6814513898
190814.6249977549,552853.5823512422
190810.70232096958,552856.4509081007
190803.7962531658,552861.3081681206
190799.1922080217,552864.5463413167
190794.58816291642,552867.784514374
190789.98411785896,552871.0226873038
190785.38007284477,552874.2608600934
190778.9001020221,552878.9320089477
190773.13814783652,552883.1391202875
190768.32746430498,552886.7268136811
190763.51677888082,552890.3145078336
190758.7060953545,552893.9022018948
190753.89541190432,552897.489896744
190749.0847266325,552901.0775894932
190744.27404139988,552904.6652820896
190739.46335811677,552908.2529745875
190733.5516232326,552908.4022734825
190729.98596798215,552911.148153384
190725.23176115123,552914.8093274351
190721.66610640308,552917.5552081034
190718.76066447547,552919.774036011
190714.27806027973,552923.1888022858
190712.03675819826,552924.8961853532
190707.55415405703,552928.3109514319
190703.07154995063,552931.7257173498
190700.83024790825,552933.4331002748
190696.34764385188,552936.8478659994
190691.8650398304,552940.2626315895
190686.45865569107,552944.2911961743
190680.60471822493,552948.6229922788
190675.1000787383,552952.6973096386
190667.8774769729,552958.035908717
190660.65487539835,552963.3745084006
190655.01198372504,552967.4926075967
190647.72688201285,552972.718697184
190639.49333177786,552978.6954783475
190631.78506966133,552988.6601031101
190624.51286472438,552993.85725038
190617.0672528874,552999.3429375299
190601.6465346154,553010.9107335896
190592.47410109986,553017.7984867416
190585.24441132796,553023.1739177059
190578.92740921656,553027.919916075
190571.08078668037,553033.7440892237
190563.52126224223,553039.3804134707
190556.35144830006,553044.8487679488
190547.85568880945,553047.3360103355
190540.5654821155,553052.8218978865
190534.3745884549,553057.4659185491
190528.0510463436,553062.1795715347
190523.02370618144,553069.9767156483
190516.31781612668,553070.6619482524
190504.15384228306,553082.0093879021
190499.4656081473,553086.8009118794
190487.68655956525,553095.2130086939
190482.97494020866,553098.5778471739
190475.9075112583,553103.6251046333
190468.73017229958,553108.8307674092
190462.38048034807,553113.5595028943
190446.4658310319,553125.403836521
190438.02439939277,553131.6600474358
190429.561336536,553137.8870595205
190421.9931309618,553143.4667085666
190413.02071174496,553150.1215872134
190405.0402113702,553156.0219958279
190396.6084223122,553162.2728460745
190387.21981311176,553169.2313222758
190381.49019991278,553173.4793763863
190373.61682802066,553179.3216497751
190366.59074887336,553184.5599394916
190359.56466982036,553189.7982288803
190354.88061716256,553193.2904216349
190343.17048570106,553202.0209028762
190331.46035447772,553210.7513832359
190326.77630206026,553214.2435751212
190319.7502235038,553219.4818626895
190312.4764859501,553224.9160194501
190303.38144244408,553231.6925679415
190295.09679845118,553237.8447283399
190284.51601397648,553245.699789913
190273.62842243383,553253.7778176111
190260.37168673504,553263.6127185
190245.34244361284,553274.7707151003
190212.30628391323,553299.2358298226
190193.01677774635,553313.5227812319
190171.11642200706,553329.7194424599
190147.1929327706,553347.4006084157
