x,y
189523.98240051334,553705.2718731964
189526.47340889866,553705.9637012306
189528.9644173103,553706.6555292809
189533.3438030761,553709.2439243653
189535.70712298955,553714.1865855171
189538.19226196827,553715.8662053506
189540.68139496897,553717.5513028519
189545.3591640054,553720.7595562728
189547.60181701335,553722.3170354873
189550.06252987462,553724.0012101784
189553.13143656807,553726.1016426333
189555.57958867127,553727.7744404573
189561.224801546,553726.8037717436
189563.5005434189,553728.2584681328
189567.59286361517,553730.9028002167
189570.10386094725,553732.5375026169
189573.76617033617,553734.6341100188
189578.39194129815,553736.6066503791
189583.5559358896,553737.6117239031
189590.3267267807,553736.5193300577
189594.9628153225,553735.1704477238
189601.1141837288,553732.2415356111
189604.73155690168,553729.5585768115
189615.8875449847,553721.2787806772
189620.10284712564,553718.1582194894
189627.3094101094,553712.8259467949
189634.51772603136,553707.4953821006
189640.45288597,553703.1066436133
189648.39549920117,553701.129535301
189656.84742247825,553694.9004048019
189664.08846632458,553689.549040067
189670.92430229697,553680.5845232895
189679.69185549882,553674.1038729943
189686.9095996239,553668.7812230546
189696.35209223683,553661.8080149543
189703.5721486517,553656.4652947277
189712.93889186185,553649.5311375543
189720.16356977774,553644.1808540146
189728.69780562876,553637.8518084035
189735.7299443096,553628.5300164656
189744.32296423608,553622.1415646
189752.87321785596,553615.7889516817
189760.156390096,553610.3974467651
189767.3936537608,553605.0388527261
189774.6593275387,553599.6861816152
189780.26707917935,553595.4761575276
189786.79745628894,553590.6333385113
189793.5130231742,553589.6325857982
189798.31736888905,553586.0747501717
189803.11304635645,553582.5168315708
189807.1492533256,553579.5334421555
189809.48636845534,553577.8146444653
189814.1605987368,553574.3770489838
189816.49771389528,553572.6582511953
189818.83482906333,553570.9394533635
189821.17194424092,553569.2206555055
189825.8461746271,553565.7830596729
189835.19463552546,553558.9078675819
189839.8688660287,553555.4702713294
189847.1347117531,553546.1151411429
189856.4417593838,553539.2483927025
189867.71340261976,553534.9772365157
189880.97101631947,553525.1709288232
189911.74939133535,553502.4066387293
189929.71386528455,553489.1122243359
189948.33450669615,553475.3391959954
189966.24206830756,553462.0778677489
189986.4314385915,553447.1070902055
190005.41298492337,553433.0509406142
190022.641923138,553420.3036819244
190041.3052833965,553406.4934058146
190056.8606484349,553394.9732294115
190070.64964729548,553384.7106611248
190094.1861099245,553367.2089038067
190103.60069525422,553360.2081998719
190110.66163435593,553354.9576715326
190115.60287633524,553347.0904578471
190120.44024265278,553343.5285107292
190125.26823201068,553339.9441961295
190125.26823201068,553339.9441961295
190125.26823201068,553339.9441961295
190125.26823201068,553339.9441961295
190125.26823201068,553339.9441961295
190122.86613854478,553341.7275878023
190122.86613854478,553341.7275878023
190122.86613854478,553341.7275878023
190122.86613854478,553341.7275878023
190122.86613854478,553341.7275878023
190122.86613854478,553341.7275878023
190125.26823201068,553339.9441961295
190127.67033097718,553338.1608041152
190131.4686075251,553336.5368218662
190137.72712754968,553334.8890631673
